platform,platform_id,name,country,rating,students,sessions,youtube_url,is_pro,prospect_score,profile_url,headline
"italki","7755814","Rehana","SR","4.9","675","9241","https://www.youtube.com/watch?v=cNpFNPyY4nk","false","90","https://www.italki.com/en/teacher/7755814","CERTIFIED TEACHER WITH A TEACHING CERTIFICATE IN BOTH DUTCH AND ENGLISH."
"italki","3522337","Arcangela Pellegrino","VE","5","2146","21089","https://www.youtube.com/watch?v=nD_sSEQBGWM","false","90","https://www.italki.com/en/teacher/3522337",""
"italki","8677539","Elise.Annaveline","FR","5","1321","6773","https://www.youtube.com/watch?v=MdYd6B1DZgY","false","90","https://www.italki.com/en/teacher/8677539","Experienced French tutor will help you stick to a French practice"
"italki","3146722","Fabian B","CO","5","810","7487","https://www.youtube.com/watch?v=IG7nOPIWCPM","false","90","https://www.italki.com/en/teacher/3146722","Polyglot with over six years of experience welcoming friends of the world to the Spanish language"
"italki","8869187","cherry F/kids/adults","CN","5","149","3488","https://www.youtube.com/watch?v=ZvZk-Ag2BtU","true","90","https://www.italki.com/en/teacher/8869187","AP Chinese、kids、aldults、more than 5,000+ hours of experience"
"italki","8117703","🎓Teacher Edu 🎓","CR","5","420","2480","https://www.youtube.com/watch?v=ZZsx2v3kpnE","true","90","https://www.italki.com/en/teacher/8117703","DELE Certified Specialist🏆| Patience & Confidence for Beginners🔑|Practical Spanish for your Trip✈️"
"italki","6343812","Mizuka","JP","5","108","2968","https://www.youtube.com/watch?v=VbOq3Jhp1Gk","true","90","https://www.italki.com/en/teacher/6343812","Certified Japanese Teacher：I have taught over the 4000 lessons"
"italki","6320058","Alisha","US","5","206","2622","https://www.youtube.com/watch?v=F2nmZ_jmEQ0","true","90","https://www.italki.com/en/teacher/6320058","University Professor - MFA + M.Ed Graduate - Content Creator Individual/Business+ Test Prep"
"italki","5200356","Chris","GB","5","932","6186","https://www.youtube.com/watch?v=oYsYmEy25Tw","false","90","https://www.italki.com/en/teacher/5200356","Online Tutor Who Worked as Professional Actor - Over 7 Years of Experience Working on italki"
"italki","12354726","Luisa Arocha","CO","5","234","1110","https://www.youtube.com/watch?v=DTPoyIqgwAk","true","90","https://www.italki.com/en/teacher/12354726","Spanish and English teacher with 6 years of experience"
"italki","11235392","Karolína Poláchová","CZ","5","857","6180","https://www.youtube.com/watch?v=w3sHfDC0LBQ","false","90","https://www.italki.com/en/teacher/11235392","Adaptable Language Instructor: Tailoring Learning to Your Unique Style"
"italki","11620209","Anouk","NL","5","350","3446","https://www.youtube.com/watch?v=9_XhsWyKYJw","true","90","https://www.italki.com/en/teacher/11620209","🇺🇸🇬🇧English & 🇳🇱Dutch that Move at the Speed of You!  Not Just Fluent, Fearless!"
"italki","6898032","Zelaida Guox","GT","5","369","1427","https://www.youtube.com/watch?v=jpGl5odrjYs","true","90","https://www.italki.com/en/teacher/6898032",""
"italki","6918146","Peter Stamos","CA","5","370","3057","https://www.youtube.com/watch?v=Cvr8-5NCU2g","true","90","https://www.italki.com/en/teacher/6918146","Certified teacher with many years experience in several countries. 我是普通话学生"
"italki","7841372","WILLY","CM","5","829","7156","https://www.youtube.com/watch?v=wNirCYC_xi0","false","90","https://www.italki.com/en/teacher/7841372","Certified DELF teacher with 7 years of teaching experience. Come learn or practice your French ✅"
"italki","9507373","Valentina Hernández","CO","5","432","4806","https://www.youtube.com/watch?v=z6BeNp8J1u8","true","90","https://www.italki.com/en/teacher/9507373","🌎 Aprender otro idioma es como convertirse en otra persona.  -Murakami."
"italki","1342841","Tim 🇬🇧","GB","5","205","3043","https://www.youtube.com/watch?v=ng6nZRcWwGw","true","90","https://www.italki.com/en/teacher/1342841","🌎 Specialist ESL Coach | IELTS, Business English & Speaking Confidence | Clear British Accent 🎙️"
"italki","3908647","Charlie Collingwood","GB","5","416","2634","https://www.youtube.com/watch?v=o7w2t7W1jy8","true","90","https://www.italki.com/en/teacher/3908647","Professional teacher - 30+ years' experience  - Cambridge TESOL Diploma"
"italki","6487555","Leslie Mac Callum","ZA","5","236","4679","https://www.youtube.com/watch?v=7raXP1H4Ncg","true","90","https://www.italki.com/en/teacher/6487555","Certified and experienced ESL kids. IELTS certified and experienced Cambridge and TOEFL teacher."
"italki","10827762","Simon the American","US","5","233","1914","https://www.youtube.com/watch?v=VJBb18qZE-E","true","90","https://www.italki.com/en/teacher/10827762","TOEFL/IELTS/TOEIC Preparation with guaranteed results!"
"italki","663702","Victoria","FR","5","485","4094","https://www.youtube.com/watch?v=tYXPB8ikyeQ","true","90","https://www.italki.com/en/teacher/663702","Personnalized, structured lessons for beginners from a certified teacher. Start speaking today."
"italki","8416303","Johan","ZA","5","128","2072","https://www.youtube.com/watch?v=3srKdycVLiI","true","90","https://www.italki.com/en/teacher/8416303","Passionate about business English. 15 years experience working for US industry giant."
"italki","4884241","Fatima  Babaji","US","5","1840","8746","https://www.youtube.com/watch?v=Af3ONedjcnA","false","90","https://www.italki.com/en/teacher/4884241","Have a great conversation with a native speaker with years of experience!"
"italki","11233494","Seongsoo Kim","KR","5","286","2299","https://www.youtube.com/watch?v=1AT2S587oqM","true","90","https://www.italki.com/en/teacher/11233494","Certified Professional Korean Teacher | 7+ Years Teaching Experience | Master Real-World Fluency"
"italki","5782918","Angelina","UA","5","184","1036","https://www.youtube.com/watch?v=NTghr4chHS8","true","90","https://www.italki.com/en/teacher/5782918","LIMITED WINTER OFFER English Teacher with Over 10 Years of Experience Teaching General English"
